Order,Name,URL,Type,Quantity Discount,Quantity Type Product,Year Join
73,Innisfree,https://shopee.vn/innisfreevietnam_officialstore,Sắc Đẹp,6,19,3
74,Inochi,https://shopee.vn/inochivietnam,Nhà Cửa & Đời Sống,3,13,1
75,IPM Việt Nam,https://shopee.vn/ipm_vn,Nhà Sách Online,0,11,1
76,Ivy Moda,https://shopee.vn/ivymoda,Thời Trang Nữ,5,21,2
77,Jeliva,https://shopee.vn/jeliva.vn,Sắc Đẹp,2,10,1
78,Johnson & Johnson,https://shopee.vn/johnson_johnson_official,Sắc Đẹp,0,11,4
79,Julyhouse,https://shopee.vn/julyhouse_essoil,Giặt Giũ & Chăm Sóc Nhà Cửa,2,10,4
80,Juno Official Store,https://shopee.vn/juno.officialstore,Giày Dép Nam,3,18,4
81,Kamong Official Store,https://shopee.vn/kamongclothing,Thời Trang Nữ,2,12,2
82,Kamong Official,https://shopee.vn/kamongclothing,Thời Trang Nữ,2,12,2
83,Kim Đồng,https://shopee.vn/nxbkimdong,Nhà Sách Online,0,13,2
84,Kimuse,https://shopee.vn/kimusecosmetics.vn,Sắc Đẹp,2,12,2
85,King Beauty,https://shopee.vn/kingbeauty_officialstore,Sắc Đẹp,3,5,2
86,Kinh Đô Official Store,https://shopee.vn/kinhdo_official_store,Bách Hóa Online,0,10,3
87,Kitekat,https://shopee.vn/mars_petcare,Chăm Sóc Thú Cưng,0,12,4
88,Kobi,https://shopee.vn/kobimart,Nhà Cửa & Đời Sống,3,10,3
89,Kojiba,https://shopee.vn/kojibavn,Thời Trang Nam,5,8,5
90,Krystal,https://shopee.vn/krystal.vn,Thời Trang Nữ,4,9,2
91,"""lovito.vn	""",https://shopee.vn/lovito.vn,Thời Trang Nữ,3,21,1
92,La Roche-Posay,https://shopee.vn/larocheposay_officialstore,Sắc Đẹp,2,6,5
93,Labelle Vie,https://shopee.vn/labellevie.vn,Sắc Đẹp,5,7,3
94,Lados,https://shopee.vn/nguonhangthoitrang,Thời Trang Nam,9,11,5
95,Laikou Official Store,https://shopee.vn/laikou.vn,Sắc Đẹp,9,18,2
96,Lamuseland,https://shopee.vn/lamuseland.vn,Sắc Đẹp,0,13,4
97,Laneige,https://shopee.vn/laneigevn_officialstore,Sắc Đẹp,3,20,3
98,Lata,https://shopee.vn/latahcm,Túi Ví Nữ,3,24,5
99,Latashop,https://shopee.vn/latahcm,Túi Ví Nữ,3,24,5
100,Laza,https://shopee.vn/lazashop.vn,Balo & Túi Ví Nam,2,10,7
