Order,Name,URL,Sales,Negative,Positive,Category,Rating,Chat Response (%),Follower,Quantity Discount,Quantity Type Product,Year Join
48,Essager,https://shopee.vn/essager.vn,380370601.0,851,2818,Điện Thoại & Phụ Kiện,4.9,91,45100.0,4,11,2
49,Eucerin,https://shopee.vn/eucerin.officialstore,3048212100.0,854,2409,Sắc Đẹp,4.9,100,261200.0,0,11,4
50,Everest,https://shopee.vn/thoitrangeverest,464410540.0,745,2510,Thời Trang Nam,4.8,96,90100.0,0,19,5
51,F8888,https://shopee.vn/hangcongty,123342000.0,319,1332,Thời Trang Nam,4.7,13,27400.0,3,8,5
52,Fahasa,https://shopee.vn/fahasa.com,741652500.0,445,1578,Nhà Sách Online,5.0,91,226800.0,5,16,3
53,Famapro Official Store,https://shopee.vn/khautrangytefamapro,269751500.0,110,349,Sức Khỏe,4.9,67,99100.0,18,6,1
54,Farmasi,https://shopee.vn/kissnewyork_officialstore,42856000.0,252,631,Sắc Đẹp,4.9,60,128300.0,0,16,5
55,Fasvin,https://shopee.vn/fasvin,1046269000.0,232,1187,Thời Trang Nam,5.0,100,129400.0,0,20,2
56,Feaer Denim,https://shopee.vn/feaer_store,1399384000.0,118,692,Thời Trang Nam,5.0,100,361500.0,6,5,2
57,Finetoo Official Store ,https://shopee.vn/finetoo.vn,449094500.0,56,147,Thời Trang Nữ,4.9,90,99900.0,2,7,2
58,Fortune Mouse,https://shopee.vn/fortunemouseofficial,242547000.0,35,168,Balo & Túi Ví Nam,4.8,80,102300.0,3,8,3
59,Francia Beauty,https://shopee.vn/franciabeauty_officialstore,842407000.0,881,2378,Sắc Đẹp,4.9,79,276700.0,4,9,4
60,gau194_official,https://shopee.vn/gau194_official,461928950.0,202,886,Thời Trang Nam,4.9,98,53800.0,6,24,4
61,Hapas Official Store,https://shopee.vn/hapas.official,1061176000.0,202,612,Túi Ví Nữ,4.9,100,463700.0,6,9,2
62,Haras,https://shopee.vn/harashop.vn,64359000.0,64,248,Thể Thao & Du Lịch,4.8,67,25400.0,0,4,6
63,HDY,https://shopee.vn/toymall1.vn,139124657.0,79,258,Đồ Chơi,4.8,94,62000.0,7,57,4
64,Head & Shoulders,https://shopee.vn/pg_officialstorevn,4458512000.0,544,1711,Sắc Đẹp,4.9,100,389200.0,0,14,4
65,Himalaya,https://shopee.vn/himalayaherbalsvn,753103600.0,198,626,Sắc Đẹp,4.9,89,143800.0,6,8,4
66,HIPP,https://shopee.vn/hippofficialstore,755790970.0,248,567,Mẹ & Bé,5.0,100,79100.0,3,10,4
67,Hisexy.vn,https://shopee.vn/hisexy.vn,138369000.0,3,3,Thời Trang Nữ,4.9,100,84200.0,3,8,2
68,Hobby Home Decor,https://shopee.vn/vnhobbyshop,369533530.0,156,663,Nhà Cửa & Đời Sống,4.9,95,39900.0,4,8,5
69,Hoco Official Store,https://shopee.vn/hoco_flagship_official_store,812020417.0,1209,4267,Điện Thoại & Phụ Kiện,4.9,87,123700.0,4,12,2
70,Hồng Ánh,https://shopee.vn/gepo.vn,815133000.0,525,2332,Thể Thao & Du Lịch,4.9,100,65700.0,0,15,2
71,iBasic,https://shopee.vn/ibasicvietnam,743213630.0,63,338,Thời Trang Nữ,4.9,98,326000.0,7,37,5
72,Imagic,https://shopee.vn/imagic_official.vn,199565500.0,3,12,Sắc Đẹp,4.9,80,137100.0,8,15,2
73,Innisfree,https://shopee.vn/innisfreevietnam_officialstore,5252908000.0,392,1430,Sắc Đẹp,4.9,91,1400000.0,6,19,3
74,Inochi,https://shopee.vn/inochivietnam,292017255.0,567,1894,Nhà Cửa & Đời Sống,4.9,79,154000.0,3,13,1
75,IPM Việt Nam,https://shopee.vn/ipm_vn,358161200.0,640,2205,Nhà Sách Online,5.0,88,47400.0,0,11,1
76,Ivy Moda,https://shopee.vn/ivymoda,706655000.0,6,44,Thời Trang Nữ,4.9,100,331200.0,5,21,2
77,Jeliva,https://shopee.vn/jeliva.vn,1037902010.0,719,2923,Sắc Đẹp,5.0,100,93100.0,2,10,1
78,Johnson & Johnson,https://shopee.vn/johnson_johnson_official,3360151000.0,1303,3585,Sắc Đẹp,4.9,92,250700.0,0,11,4
79,Julyhouse,https://shopee.vn/julyhouse_essoil,711353000.0,1566,3924,Giặt Giũ & Chăm Sóc Nhà Cửa,4.9,99,324600.0,2,10,4
80,Juno Official Store,https://shopee.vn/juno.officialstore,642035000.0,31,171,Giày Dép Nam,4.9,96,475800.0,3,18,4
81,Kamong Official Store,https://shopee.vn/kamongclothing,948560000.0,445,2005,Thời Trang Nữ,5.0,100,193700.0,2,12,2
82,Kamong Official,https://shopee.vn/kamongclothing,948560000.0,147,553,Thời Trang Nữ,5.0,100,193700.0,2,12,2
83,Kim Đồng,https://shopee.vn/nxbkimdong,429338700.0,23,93,Nhà Sách Online,5.0,65,115000.0,0,13,2
84,Kimuse,https://shopee.vn/kimusecosmetics.vn,1539468000.0,1623,7342,Sắc Đẹp,4.9,94,323600.0,2,12,2
85,King Beauty,https://shopee.vn/kingbeauty_officialstore,87706500.0,388,1279,Sắc Đẹp,4.9,87,143600.0,3,5,2
86,Kinh Đô Official Store,https://shopee.vn/kinhdo_official_store,84622796.0,342,1086,Bách Hóa Online,4.9,100,218300.0,0,10,3
87,Kitekat,https://shopee.vn/mars_petcare,784359900.0,1062,3807,Chăm Sóc Thú Cưng,4.9,90,307900.0,0,12,4
88,Kobi,https://shopee.vn/kobimart,58136000.0,510,1330,Nhà Cửa & Đời Sống,5.0,96,44200.0,3,10,3
89,Kojiba,https://shopee.vn/kojibavn,173443000.0,840,2860,Thời Trang Nam,4.7,99,175600.0,5,8,5
90,Krystal,https://shopee.vn/krystal.vn,158176900.0,349,1511,Thời Trang Nữ,5.0,84,160600.0,4,9,2
91,"""lovito.vn	""",https://shopee.vn/lovito.vn,6326614300.0,2776,12274,Thời Trang Nữ,4.9,99,847600.0,3,21,1
92,La Roche-Posay,https://shopee.vn/larocheposay_officialstore,26686898000.0,1842,5888,Sắc Đẹp,4.9,41,1300000.0,2,6,5
93,Labelle Vie,https://shopee.vn/labellevie.vn,314419800.0,764,1904,Sắc Đẹp,4.9,96,137500.0,5,7,3
94,Lados,https://shopee.vn/nguonhangthoitrang,1849921000.0,162,681,Thời Trang Nam,4.9,99,275500.0,9,11,5
95,Laikou Official Store,https://shopee.vn/laikou.vn,395008953.0,284,933,Sắc Đẹp,4.9,100,202900.0,9,18,2
96,Lamuseland,https://shopee.vn/lamuseland.vn,48160641.0,1764,5394,Sắc Đẹp,4.9,81,101500.0,0,13,4
97,Laneige,https://shopee.vn/laneigevn_officialstore,4307245000.0,1020,4252,Sắc Đẹp,5.0,98,833400.0,3,20,3
98,Lata,https://shopee.vn/latahcm,1158934000.0,14,150,Túi Ví Nữ,4.9,100,520200.00000000006,3,24,5
99,Latashop,https://shopee.vn/latahcm,1158934000.0,3,46,Túi Ví Nữ,4.9,100,520200.00000000006,3,24,5
100,Laza,https://shopee.vn/lazashop.vn,245246000.0,1129,5422,Balo & Túi Ví Nam,4.8,83,174600.0,2,10,7
