Order,Name,URL,Type
84,Kimuse,https://shopee.vn/kimusecosmetics.vn,Sắc Đẹp
85,King Beauty,https://shopee.vn/kingbeauty_officialstore,Sắc Đẹp
86,Kinh Đô Official Store,https://shopee.vn/kinhdo_official_store,Bách Hóa Online
87,Kitekat,https://shopee.vn/mars_petcare,Chăm Sóc Thú Cưng
88,Kobi,https://shopee.vn/kobimart,Nhà Cửa & Đời Sống
89,Kojiba,https://shopee.vn/kojibavn,Thời Trang Nam
90,Krystal,https://shopee.vn/krystal.vn,Thời Trang Nữ
91,"""lovito.vn	""",https://shopee.vn/lovito.vn,Thể Thao & Du Lịch
92,La Roche-Posay,https://shopee.vn/larocheposay_officialstore,Sắc Đẹp
93,Labelle Vie,https://shopee.vn/labellevie.vn,Sắc Đẹp
94,Lados,https://shopee.vn/nguonhangthoitrang,Thời Trang Nam
95,Laikou Official Store,https://shopee.vn/laikou.vn,Sắc Đẹp
96,Lamuseland,https://shopee.vn/lamuseland.vn,Sắc Đẹp
97,Laneige,https://shopee.vn/laneigevn_officialstore,Sắc Đẹp
98,Lata,https://shopee.vn/latahcm,Túi Ví Nữ
99,Latashop,https://shopee.vn/latahcm,Túi Ví Nữ
100,Laza,https://shopee.vn/lazashop.vn,Balo & Túi Ví Nam
